change_plants|Change Plants
change_plants_variant|Change Plants Variant

invalid_structure|You can't destroy this building as that would result in an invalid structure.
destroy|Destroy
really_destroy|Really Destroy?
destroy_this_building|Destroy This Building
destroy_tip|Tip: you can also Delete+Click on buildings to quickly destroy them.

citizen|citizen

welcome_back_teleporter_warning|Welcome back to your city!\nPlease note that teleporters now have an operating cost. You may want to replace some teleporters to reduce this cost. You can temporarily disable your teleporter network if needed; just [tap] on any teleporter, then [tap] Disable All Teleporters.
update_notice|Update Notice

one_day|one day
n_days|[0] days
one_hour|one hour
n_hours|[0] hours
and|and
one_minute|one minute
n_minutes|[0] minutes

game_load_error|Something went wrong while trying to load content required for that scenario! Please check your internet connection and try again.
game_import_error|That file doesn't look like a save file! Are you sure you have selected the right file?
game_load_save_error|Unfortunately, something went wrong while trying to load your save file.
game_load_save_error_version|Sorry, we couldn't load that save file! It seems to have been created with a newer version of the game.
tap_to_continue|Tap to continue
save_slot_import|Which save slot would you like to import to?

close|Close

mute_music|Mute Music
unmute_music|Unmute Music
mute_sfx|Mute Sound Effects
unmute_sfx|Unmute Sound Effects
full_screen|Full Screen
advanced_settings|Advanced Settings

follow_me_twitter|Follow me @FlorianStrien on Twitter and get the latest news on updates and my new games!
mailing_list_info|I'll send you cool The Final Earth 2 news and facts, plus info on my future releases!
mailing_list_header|Subscribe to my mailing list!
join_discord|Join my Discord!
privacy|Privacy
wishlist_full|Wishlist Full Version!
upgrade_premium|Upgrade to Premium!
back_to_title|Back to Title

click_here_to_play|[Tap] Here to Play
played_before|Played Before?
continue|Continue
new_city|New City
new_city_explain|Start with any scenario or Free Play.
load_city|Load City
which_city_to_load|Which city would you like to load?
play_other|Play My Other Games!
play_more_games|Play More Games
like_us|Like Us!
get_premium|Get Premium
exit|Exit
import|Import
save_screenshot|Save Screenshot
view_credits|View Credits

save_slot_choice|Which save slot would you like to use?

no_saves_warning|Warning! Unfortunately, no working saving method has been found in your browser. You can still play, but any saves will be lost when you leave the game.\n\nThis is normally caused by disabling cookies or third-party cookies. This game uses a method similar to cookies to save your cities. Third-party cookies may be required as the game is often running on another domain than the web gaming portal.\n\nPlease try enabling cookies. Then, reload the page. Otherwise, you can still Export your cities from the Game Menu and Import them again later.

building_prevented_strange_force|A strange force prevents you from building there.

resident_workers_of|Resident workers of [0]
none|None
resident_workers|[0]/[1] resident workers
quality|Quality: [0]
capacity|Capacity: [0]

residents_of|Residents of [0]
residents|[0]/[1] residents
no_residents|No Residents
there_are_no_houses|There are no houses!
houses_exactly_enough|There are exactly enough homes for your citizens.
house_n_cap_remaining|There's [0] house capacity remaining.
homeless_one|There's one homeless person.
homeless_n|There are [0] homeless people.

students|[0]/[1] students

beacon_credits|The Beacon has been designed together with Annabelle, who won the first building contest in the Discord!
cannot_afford_hippie_bride|You can't afford bribing the Hippies right now!
bribe_hippies_option|... or bribe the Hippies and skip this\ntask for 10,000 food
thank_you|Thank You
thank_you_ex|Thank You!
current_task|Current Task
peace_out|Peace out!
flower_buds|Open the Flower Buds:\nMake sure all 6 jobs are filled.
hippie_mission_0|Flower Link:\nBuild at least two teleporters each surrounded by Botanical Gardens.
hippie_mission_1|Flowery Dining:\nBuild three Blossom Restaurants.
hippie_mission_2|Actual Nature:\nHave at least one protected forest.
hippie_mission_3|Together in Harmony:\nBuild twenty Community Houses.
hippie_mission_4|Organicize:\nBuild thirty Eco Farms.
hippie_mission_5|Don't Waste:\nBuild nine Farm By-Product Processors.
hippie_mission_6|Peaceful Society:\nResearch Societal Living in the Living Research Center.
hippie_mission_7|Make the City Sing:\nBuild the Festival HQ.
hippie_mission|Hippie Mission

change_building_color|Change Building Color
change_variant|Change Variant

beans_grown|Beans [0]% grown.
cacao_left|[0] cacao left to harvest.
chocolate_production|[0] cacao beans used to make [1] chocolate bars.

ignore_unhappy_citizens|Ignore unhappy citizen warnings
city_name|City Name:
unnamed_city|Unnamed City
give_city_name|Give your city a name!
change_city_name|Change City Name

computer_chip_production|[0] units of refined metals used to make [1] computer chips.
knowledge_gathered|[0] knowledge gathered.
knowledge_generated|[0] knowledge generated.
knowledge_production_from_machine_parts|[0] machine parts used to gain [1] knowledge.
wood_produced|[0] wood produced.
producing_by_products_for_n_farms|Processing by-products for [0] farms.
producing_by_products_for_1_farm|Processing by-products for one farm.
refinded_metals_made|[0] stone used to make [1] units of refined metals.
knowledge_gathered_per_day|[0] knowledge gathered per day.
knowledge_gathered_so_far|[0] knowledge gathered so far.
wood_used_for_machine_parts|[0] wood used to make [1] machine parts.

left_plot|Left plot:
top_right_plot|Top right plot:
bottom_right_plot|Bottom right plot:

current_task_looking|Current task: looking for ruins.
current_task_exploring|Current task: exploring ruins.
current_task_investigating|Current task: investigating findings.

crops_grow_pct|Crops [0]% grown.
food_left_to_harvest|[0] food left to harvest.
old_crops_cleaned|Old crops [0]% cleaned.
resources_produced|[0] resources produced.

current_festival|Current Festival
planned_festival|Planned Festival
preparing|Preparing...
assign_workers_to_prepare|Assign workers to prepare for a new festival!
assign_more_to_speed_up|Assign more workers to speed this up!
organize_a_festival|Organize a Festival
cant_organize|You can't organize a Music Festival right now!
music_festival|Music Festival
music_festival_help|A huge, awesome party that lasts for one day. Boosts the happiness of your citizens for a week. This can even make it go over 100.

teleported_from|Teleported from [0] times.
teleported_to|Teleported to [0] times.

mirror|Mirror
change_interior|Change Interior

graphene_sheets_production|[0] knowledge and [1] stone used to make [2] graphene sheets.
graphene_sheets_made|[0] stone used to create [1] graphene sheets.

hackers_done|We'll keep on hacking!
hackers_gather|Gather the Hackers:\nMake sure all 6 jobs are filled.
hacker_mission_0|Collect the Knowledge:\nBuild twenty Labs.
hacker_mission_1|Spread the Knowledge:\nBuild three Libraries.
hacker_mission_2|House the Smart:\nBuild five Tinkerers' Houses.
hacker_mission_3|Factory Hack:\nResearch the Firmware Modding upgrade at a Refined Metals Factory.
hacker_mission_4|Try our latest invention:\nBuild a Factory Pub.
hacker_mission_5|More of the basics:\nProduce at least 20 computer chips in a day.
hacker_mission_6|Mechanical Party:\nBuild seven Scrapyard Nightclubs.
hacker_mission_7|Let's have even more fun!\nBuild the Lab Escape Room.
hacker_mission_8|Watering Cans Are Overrated:\nResearch Automatic Water Management in a Tree Plantation.
hacker_mission_9|Change the Game:\nBuild two Holo Game Halls.
hacker_mission_10|Build our Ultimate Invention:\nBuild the Misdirector.
hackers_mission|Hackers Mission

herb_reduction|Herbs reduce your citizens' food consumption by [0]/[1]%
herb_medical_happiness|Total medical happiness from herb gardens: [0]/20%
change_herb_plants|Change Herb Plants

elevator_entered|Elevator entered here [0] times.
elevator_left|Elevator left here [0] times.

crops_grown|Crops [0]% grown.
food_left|[0] food left to harvest.
percent_cleaned|Old crops [0]% cleaned.

used_as_house|Used as a house.

transported_from|Transported from [0] times.
